heat_demand_kW,price,temperature
2.696,117.51,-5.795
2.82,133.01,-5.938
3.056,147.04,-5.006
3.092,136.8,-3.522
2.924,132.31,-2.267
2.804,117.77,-1.815
2.84,107.19,-1.629
2.88,100,-1.573
2.86,95.98,-1.568
2.92,90.42,-1.576
2.952,87.69,-1.776
2.944,85.4,-1.813
2.916,84.67,-1.519
2.9,85.81,-1.134
2.944,89.99,-0.913
3.048,99.53,-0.668
3.108,120.16,0.157
3.1,140.74,1.127
3.02,134.96,1.805
2.892,122.01,2.339
2.768,114.73,2.701
2.648,106.98,2.79
2.52,103.08,2.483
2.428,104.54,1.804
2.408,110,1.168
2.508,120,0.938
2.708,127.5,0.822
2.728,126,0.526
2.576,119.47,0.637
2.464,109.1,0.951
2.488,99.8,1.403
2.52,94.98,1.469
2.496,87.79,1.524
2.548,90,1.528
2.572,82.92,1.353
2.568,82,1.123
2.54,78.47,1.001
2.528,75,0.772
2.568,75.1,0.209
2.66,77.91,-0.162
2.716,82.92,0.704
2.712,89.89,1.895
2.644,84.99,2.846
2.536,82.35,3.598
2.432,76.91,3.807
2.328,71.5,3.677
2.224,71.06,3.261
2.144,82.96,2.138
2.128,91.7,1.226
2.224,93.92,1.694
2.404,94.83,2.065
2.428,93.91,2.149
2.296,90.95,2.337
2.2,79.44,2.455
2.228,71.02,2.479
2.26,71.01,2.674
2.248,70.29,2.798
2.3,69.56,2.928
2.332,67.53,2.873
2.332,66.78,2.691
2.316,66.32,2.611
2.316,66.54,2.653
2.36,67.65,2.546
2.452,68.07,2.441
2.512,72.53,2.764
2.52,77.09,3.417
2.468,82.65,3.963
2.38,83.07,4.172
2.292,83.89,3.976
2.208,81.52,3.517
2.12,77.04,2.976
2.056,79.15,2.153
2.052,82.32,1.348
2.156,86.62,0.903
2.344,91.86,0.479
2.384,97.68,0.06
2.268,89.66,-0.481
2.188,82.26,-1.253
2.228,79.98,-2.001
2.276,77.04,-2.493
2.276,68.35,-2.811
2.34,70.88,-2.999
2.384,67.11,-2.862
2.396,64.68,-2.65
2.392,62.04,-2.264
2.4,62.4,-1.753
2.456,70,-1.19
2.564,85.25,-0.631
2.636,100.18,0.054
2.648,100.04,1.063
2.604,100.39,1.664
2.512,94.98,2.051
2.424,90.27,2.586
2.336,84.53,2.746
2.24,83.71,2.381
2.172,87.41,1.681
2.168,93.82,1.102
2.272,100.66,1.191
2.464,107.17,1.426
2.5,112.97,1.619
2.368,111.68,1.785
2.276,104,1.804
2.308,94.31,1.79
2.344,91.86,1.892
2.336,87.97,2.021
2.392,83.01,2.082
2.42,81.75,2.106
2.424,80.23,2.152
2.404,78.33,2.199
2.4,77.5,2.153
2.44,83.11,1.793
2.532,101.27,1.307
2.588,117,1.511
2.584,144.11,2.566
2.524,138.6,3.714
2.42,122,4.453
2.324,110,4.811
2.224,103.09,4.74
2.12,102.71,4.277
2.044,108.26,2.651
2.028,121.12,1.319
